Component	initialized classification	Node 0	Node 1	Node 2	Node 4	Node 5	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14
ICA_00	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_01	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_02	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected	rejected	rejected
ICA_03	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_04	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	rejected	rejected	rejected	rejected
ICA_05	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_06	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_07	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_08	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_09	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_10	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_11	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_12	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected	rejected	rejected
ICA_13	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_14	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_15	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_16	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_17	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_18	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_19	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_20	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_21	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_22	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_23	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_24	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected	rejected	rejected
ICA_25	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
