Component	initialized classification	Node 0	Node 1	Node 2	Node 4	Node 5	Node 8	Node 9	Node 10	Node 11	Node 12	Node 13	Node 14
ICA_00	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_01	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_02	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_03	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_04	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_05	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_06	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_07	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_08	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	rejected	rejected	rejected	rejected
ICA_09	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected	rejected	rejected
ICA_10	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_11	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_12	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	rejected	rejected	rejected	rejected
ICA_13	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_14	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected	rejected	rejected
ICA_15	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_16	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_17	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_18	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_19	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	rejected	rejected	rejected	rejected
ICA_20	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_21	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_22	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_23	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_24	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_25	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	provisionalaccept	accepted	accepted
ICA_26	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_27	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	rejected	rejected	rejected	rejected
ICA_28	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_29	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_30	unclassified	unclassified	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_31	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
ICA_32	unclassified	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_33	unclassified	unclassified	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected	rejected
ICA_34	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	provisionalreject	rejected
